Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,days_since,Population,Confirmed / Million Inhabitants,Deaths / Million Inhabitants,Recovered / Million Inhabitants
NA_Afghanistan,Afghanistan,33.0,65.0,2020-01-22,0,0,0,0,38742911.0,0.0,0.0,0.0
NA_Albania,Albania,41.1533,20.1683,2020-01-22,0,0,0,0,2878420.0,0.0,0.0,0.0
NA_Algeria,Algeria,28.0339,1.6596,2020-01-22,0,0,0,0,43685618.0,0.0,0.0,0.0
NA_Andorra,Andorra,42.5063,1.5218,2020-01-22,0,0,0,0,77240.0,0.0,0.0,0.0
NA_Angola,Angola,-11.2027,17.8739,2020-01-22,0,0,0,0,32644783.0,0.0,0.0,0.0
NA_Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,0,0,97764.0,0.0,0.0,0.0
NA_Argentina,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0,0,45111229.0,0.0,0.0,0.0
NA_Armenia,Armenia,40.0691,45.0382,2020-01-22,0,0,0,0,2962137.0,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,0,0,0,25439164.0,0.0,0.0,0.0
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0,0,25439164.0,0.0,0.0,0.0
Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,0,0,25439164.0,0.0,0.0,0.0
Queensland,Australia,-28.0167,153.4,2020-01-22,0,0,0,0,25439164.0,0.0,0.0,0.0
South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0,0,25439164.0,0.0,0.0,0.0
Tasmania,Australia,-41.4545,145.9707,2020-01-22,0,0,0,0,25439164.0,0.0,0.0,0.0
Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0,0,25439164.0,0.0,0.0,0.0
Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0,0,25439164.0,0.0,0.0,0.0
NA_Austria,Austria,47.5162,14.5501,2020-01-22,0,0,0,0,8996022.0,0.0,0.0,0.0
NA_Azerbaijan,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,0,0,10120555.0,0.0,0.0,0.0
NA_Bahamas,Bahamas,25.0343,-77.3963,2020-01-22,0,0,0,0,392477.0,0.0,0.0,0.0
NA_Bahrain,Bahrain,26.0275,50.55,2020-01-22,0,0,0,0,1688629.0,0.0,0.0,0.0
NA_Bangladesh,Bangladesh,23.685,90.3563,2020-01-22,0,0,0,0,164354176.0,0.0,0.0,0.0
NA_Barbados,Barbados,13.1939,-59.5432,2020-01-22,0,0,0,0,287305.0,0.0,0.0,0.0
NA_Belarus,Belarus,53.7098,27.9534,2020-01-22,0,0,0,0,9449940.0,0.0,0.0,0.0
NA_Belgium,Belgium,50.8333,4.0,2020-01-22,0,0,0,0,11579477.0,0.0,0.0,0.0
NA_Benin,Benin,9.3077,2.3158,2020-01-22,0,0,0,0,12055347.0,0.0,0.0,0.0
NA_Bhutan,Bhutan,27.5142,90.4336,2020-01-22,0,0,0,0,769867.0,0.0,0.0,0.0
NA_Bolivia,Bolivia,-16.2902,-63.5887,2020-01-22,0,0,0,0,11640159.0,0.0,0.0,0.0
NA_Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,0,0,0,3284806.0,0.0,0.0,0.0
NA_Brazil,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,0,212253150.0,0.0,0.0,0.0
NA_Brunei,Brunei,4.5353,114.7277,2020-01-22,0,0,0,0,436624.0,0.0,0.0,0.0
NA_Bulgaria,Bulgaria,42.7339,25.4858,2020-01-22,0,0,0,0,6958627.0,0.0,0.0,0.0
NA_Burkina Faso,Burkina Faso,12.2383,-1.5616,2020-01-22,0,0,0,0,20780371.0,0.0,0.0,0.0
NA_Cabo Verde,Cabo Verde,16.5388,-23.0418,2020-01-22,0,0,0,0,554750.0,0.0,0.0,0.0
NA_Cambodia,Cambodia,11.55,104.9167,2020-01-22,0,0,0,0,16671185.0,0.0,0.0,0.0
NA_Cameroon,Cameroon,3.8480000000000003,11.5021,2020-01-22,0,0,0,0,26405174.0,0.0,0.0,0.0
Alberta,Canada,53.9333,-116.5765,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
British Columbia,Canada,49.2827,-123.1207,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
Grand Princess,Canada,37.6489,-122.6655,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
Manitoba,Canada,53.7609,-98.8139,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
Ontario,Canada,51.2538,-85.3232,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0,0,0,0,37674770.0,0.0,0.0,0.0
NA_Central African Republic,Central African Republic,6.6111,20.9394,2020-01-22,0,0,0,0,4812256.0,0.0,0.0,0.0
NA_Chad,Chad,15.4542,18.7322,2020-01-22,0,0,0,0,16324440.0,0.0,0.0,0.0
NA_Chile,Chile,-35.6751,-71.543,2020-01-22,0,0,0,0,19082804.0,0.0,0.0,0.0
Anhui,China,31.8257,117.2264,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Beijing,China,40.1824,116.4142,2020-01-22,14,0,0,0,1438207241.0,0.0,0.0,0.0
Chongqing,China,30.0572,107.874,2020-01-22,6,0,0,0,1438207241.0,0.0,0.0,0.0
Fujian,China,26.0789,117.9874,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Gansu,China,37.8099,101.0583,2020-01-22,0,0,0,0,1438207241.0,0.0,0.0,0.0
Guangdong,China,23.3417,113.4244,2020-01-22,26,0,0,0,1438207241.0,0.0,0.0,0.0
Guangxi,China,23.8298,108.7881,2020-01-22,2,0,0,0,1438207241.0,0.0,0.0,0.0
Guizhou,China,26.8154,106.8748,2020-01-22,1,0,0,0,1438207241.0,0.0,0.0,0.0
Hainan,China,19.1959,109.7453,2020-01-22,4,0,0,0,1438207241.0,0.0,0.0,0.0
