Province/State,Country/Region,Lat,Long,days_since,Deaths,Recovered,Confirmed
NA_Afghanistan,Afghanistan,33.0,65.0,0,0,0,0.0
NA_Albania,Albania,41.1533,20.1683,0,0,0,0.0
NA_Algeria,Algeria,28.0339,1.6596,0,0,0,0.0
NA_Andorra,Andorra,42.5063,1.5218,0,0,0,0.0
NA_Angola,Angola,-11.2027,17.8739,0,0,0,0.0
NA_Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,0,0,0,0.0
NA_Argentina,Argentina,-38.4161,-63.6167,0,0,0,0.0
NA_Armenia,Armenia,40.0691,45.0382,0,0,0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,0,0.0
New South Wales,Australia,-33.8688,151.2093,0,0,0,1.4
Northern Territory,Australia,-12.4634,130.8456,0,0,0,0.0
Queensland,Australia,-28.0167,153.4,0,0,0,0.2
South Australia,Australia,-34.9285,138.6007,0,0,0,0.0
Tasmania,Australia,-41.4545,145.9707,0,0,0,0.0
Victoria,Australia,-37.8136,144.9631,0,0,0,0.4
Western Australia,Australia,-31.9505,115.8605,0,0,0,0.0
NA_Austria,Austria,47.5162,14.5501,0,0,0,0.0
NA_Azerbaijan,Azerbaijan,40.1431,47.5769,0,0,0,0.0
NA_Bahamas,Bahamas,25.0343,-77.3963,0,0,0,0.0
NA_Bahrain,Bahrain,26.0275,50.55,0,0,0,0.0
NA_Bangladesh,Bangladesh,23.685,90.3563,0,0,0,0.0
NA_Barbados,Barbados,13.1939,-59.5432,0,0,0,0.0
NA_Belarus,Belarus,53.7098,27.9534,0,0,0,0.0
NA_Belgium,Belgium,50.8333,4.0,0,0,0,0.0
NA_Benin,Benin,9.3077,2.3158,0,0,0,0.0
NA_Bhutan,Bhutan,27.5142,90.4336,0,0,0,0.0
NA_Bolivia,Bolivia,-16.2902,-63.5887,0,0,0,0.0
NA_Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,0,0,0,0.0
NA_Brazil,Brazil,-14.235,-51.9253,0,0,0,0.0
NA_Brunei,Brunei,4.5353,114.7277,0,0,0,0.0
NA_Bulgaria,Bulgaria,42.7339,25.4858,0,0,0,0.0
NA_Burkina Faso,Burkina Faso,12.2383,-1.5616,0,0,0,0.0
NA_Cabo Verde,Cabo Verde,16.5388,-23.0418,0,0,0,0.0
NA_Cambodia,Cambodia,11.55,104.9167,0,0,0,0.4
NA_Cameroon,Cameroon,3.8480000000000003,11.5021,0,0,0,0.0
Alberta,Canada,53.9333,-116.5765,0,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,0,0,0,0.2
Grand Princess,Canada,37.6489,-122.6655,0,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,0,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,0,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,0,0,0,0.0
Nova Scotia,Canada,44.681999999999995,-63.7443,0,0,0,0.0
Ontario,Canada,51.2538,-85.3232,0,0,0,0.6
Prince Edward Island,Canada,46.5107,-63.4168,0,0,0,0.0
Quebec,Canada,52.9399,-73.5491,0,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,0,0,0,0.0
NA_Central African Republic,Central African Republic,6.6111,20.9394,0,0,0,0.0
NA_Chad,Chad,15.4542,18.7322,0,0,0,0.0
NA_Chile,Chile,-35.6751,-71.543,0,0,0,0.0
Anhui,China,31.8257,117.2264,0,0,0,73.2
Beijing,China,40.1824,116.4142,0,0,0,55.6
Chongqing,China,30.0572,107.874,0,0,0,34.8
Fujian,China,26.0789,117.9874,0,0,0,24.6
Gansu,China,37.8099,101.0583,0,0,0,3.0
Guangdong,China,23.3417,113.4244,0,0,0,27.8
Guangxi,China,23.8298,108.7881,0,0,0,17.6
Guizhou,China,26.8154,106.8748,0,0,0,3.6
Hainan,China,19.1959,109.7453,0,0,0,16.6
Hebei,China,39.549,116.1306,0,0,0,5.0
